"COURS","","H19","E19","A19","H20","E20"
"AcGOL102","Organisation scientifique du travail","S","","J","J",""
"AcGOL110","Comportement organisationnel et management","J","","J","J",""
"GOL203","Outils de conception et d'analyse de produits et de services","J","J","J","J","J"
"GOL302","Aménagement, manutention et circulation des biens et des personnes","J","","S","J",""
"GOL405","Méthodes quantitatives en logistique","S","S","J","S","S"
"GOL450","Maîtrise statistique des procédés","J","","S","J",""
"GOL455","Gestion des opérations des flux et des stocks","J","","J","J",""
"GOL460","Chaînes logistiques et d'approvisionnement","S","J","","S","J"
"GOL465","Simulation des opérations et des activités de services","S","S","S","S","S"
"GOL470","Systèmes de distribution","J","J","","J","J"
"GOL499","Systèmes informationnels","","","J","",""
"GOL500","Industries de services: organisation et fonctionnement","","","J","",""
"OSGOL503","Spécificités sectorielles: santé, banques, communication","S","J","","J",""
"GOL508","Organisation flexible de la production","S","","","","S"
"GOL509","Procédés de fabrication","","","J","",""
"OPGOL512","Ingénierie simultanée dans le développement de produits","","J","","","J"
"S,PGOL605","Analyse de la performance financière","","S","","","S"
"S,PGOL610","Gestion des parcs d'équipements","S","","","S",""
"S,PGOL615","Management de la qualité","","S","S","S",""
"S,PGOL650","Bases de données et applications Internet","","","","",""
"S,PGOL660","Gestion de la sécurité","","","S","",""
"OL670PG","Maintenance et fiabilité","","J","J","",""
"S,PGOL675","Planification et optimisation d'expériences","J","","","J",""
"S,PGOL680","Conception et optimisation de réseaux logistiques","","S","","","S"
"S,PGOL705","Environnements technico-commerciaux","","","","",""
"S,PGOL711","Gestion de projet dans les produits et services","J","S","","J","S"
"OL715SG","Files d'attente et processus stochastiques","J","","","J",""
"S,PGOL720","Implantation de systèmes intégrés de gestion d'entreprise","J","S","","J","S"
"S,PGOL725","Réseaux de transport","J","","","J",""
"OL730SG","Systèmes et instruments biomédicaux","","","","",""
"GOL791","Projet spéciaux","J","J","J","J","J"
"GOL793","Projet de fin d'études en génie des opérations et de la logistique(Ancien GOL792 à partir E17)","J","J","J","J","J"
"GOL794","Projet synthèse en génie des opérations et de la logistique, profil international(Ancien GOL794 à partir E17)","J","J","J","J","J"
"J : JourS : SoirJS : Jour - SoirAc: Cours d'accueilLes titres de cours sous fond grisé sont obligatoires dans le programme","","","","","",""
